,rel-pbesol & US_LOW,rel-pbesol & PAW_LOW,rel-pbesol & PAW_HIGH,rel-pbesol & US_HIGH,rel-pbesol & NC,rel-bp & US_LOW,rel-bp & PAW_LOW,rel-bp & PAW_HIGH,rel-bp & US_HIGH,rel-bp & NC,rel-pz & US_LOW,rel-pz & PAW_LOW,rel-pz & PAW_HIGH,rel-pz & US_HIGH,rel-pz & NC,revpbe & US_LOW,revpbe & PAW_LOW,revpbe & PAW_HIGH,revpbe & US_HIGH,revpbe & NC,rel-revpbe & US_LOW,rel-revpbe & PAW_LOW,rel-revpbe & PAW_HIGH,rel-revpbe & US_HIGH,rel-revpbe & NC,pbe & US_LOW,pbe & PAW_LOW,pbe & PAW_HIGH,pbe & US_HIGH,pbe & NC,bp & US_LOW,bp & PAW_LOW,bp & PAW_HIGH,bp & US_HIGH,bp & NC,wc & US_LOW,wc & PAW_LOW,wc & PAW_HIGH,wc & US_HIGH,wc & NC,rel-pw91 & US_LOW,rel-pw91 & PAW_LOW,rel-pw91 & PAW_HIGH,rel-pw91 & US_HIGH,rel-pw91 & NC,rel-pbe & US_LOW,rel-pbe & PAW_LOW,rel-pbe & PAW_HIGH,rel-pbe & US_HIGH,rel-pbe & NC,pz & US_LOW,pz & PAW_LOW,pz & PAW_HIGH,pz & US_HIGH,pz & NC,rel-wc & US_LOW,rel-wc & PAW_LOW,rel-wc & PAW_HIGH,rel-wc & US_HIGH,rel-wc & NC,pbesol & US_LOW,pbesol & PAW_LOW,pbesol & PAW_HIGH,pbesol & US_HIGH,pbesol & NC,pw91 & US_LOW,pw91 & PAW_LOW,pw91 & PAW_HIGH,pw91 & US_HIGH,pw91 & NC
Cl,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Ar,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
K,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Ca,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Sc,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Ti,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,无,无,无,有,有,有,无,无,有,有,有
V,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Cr,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,无,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Mn,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,无,无,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,有,有,无,无,无,无,无,无
Fe,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Co,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Ni,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Cu,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,无,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无
Zn,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Ga,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Ge,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,无,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无
As,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Se,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Br,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Kr,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Rb,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Sr,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Y,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,无,无,无,有,有,有,无,无,有,有,有,无,无,无,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Zr,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,无,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Nb,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Mo,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Tc,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Ru,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Rh,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Pd,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Ag,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Cd,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
In,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Sn,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Sb,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Te,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
I,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Xe,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Cs,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Ba,无,无,有,有,有,无,无,无,无,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
La,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Ce,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Pr,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Nd,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Pm,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Sm,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Eu,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Gd,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Tb,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,无,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Dy,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Ho,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Er,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Tm,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Yb,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Lu,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Hf,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Ta,有,有,有,有,无,有,有,无,无,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,无,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无
W,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,无,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无,有,有,有,有,无
Re,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Os,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Ir,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Pt,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Au,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Hg,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Tl,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,无,无,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Pb,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Bi,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Po,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,无,无,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
At,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
